id,ncomp,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
Resample0253,20,1.44520252705213,0.676283271458413,1.08360050437985,0.166885233323767,0.0667242138904234,0.129820332903508
Resample0254,1,2.09538848313834,0.255527705951423,1.7280028340133,0.207620029254474,0.134331125626801,0.192841392604006
Resample0254,2,1.86285212344176,0.410575835075728,1.52017998294331,0.1781524387349,0.0975589174178042,0.182531611924676
Resample0254,3,1.76556732953125,0.475434112726316,1.42707277359692,0.188368195584598,0.0981636190176236,0.156423579262402
Resample0254,4,1.6936589479314,0.531522066948616,1.35532021670256,0.179227300602903,0.0851043901066471,0.145065978946178
Resample0254,5,1.65324861560331,0.560848332802147,1.29561288728303,0.17495333311895,0.079669157606916,0.150935782368998
Resample0254,6,1.58461413661533,0.595422726628528,1.18557326924233,0.207594661265775,0.108777868043723,0.118541832993873
Resample0254,7,1.50697921128545,0.629352324123288,1.16938043675442,0.12295370715605,0.0634293452959661,0.0954767254754399
Resample0254,8,1.4326979460848,0.66052949558618,1.08876242996017,0.179871818480213,0.0667877640732381,0.143232271173389
Resample0254,9,1.38509380099495,0.674235250473938,1.04291883091043,0.180953792426086,0.0821327788016404,0.132852216515731
Resample0254,10,1.35800300826348,0.68433116546139,1.02819508932188,0.17083392992151,0.0771094709376361,0.119251903687149
Resample0254,11,1.34334128679886,0.689111340101931,1.01324180167564,0.148631907509297,0.0755208662317364,0.114260576645076
Resample0254,12,1.35482606879754,0.682978563099134,1.02190075136743,0.14610773021816,0.0745090918780318,0.112977705188253
Resample0254,13,1.3549969719858,0.682950146202348,1.02083781316181,0.144527839647304,0.0735343728175313,0.112165245490563
Resample0254,14,1.35013495283563,0.685153152994553,1.01582925788691,0.142987150737619,0.0742611028083934,0.110934988504932
Resample0254,15,1.34628061268796,0.687230551605668,1.01309854786103,0.135674583772203,0.0718526373251752,0.105806303645649
Resample0254,16,1.34247081947376,0.688847816978037,1.01036832611803,0.135895530106101,0.07119725043871,0.104971290320716
Resample0254,17,1.34297630044223,0.688787226050266,1.01135349023513,0.136189938542799,0.0713144717831684,0.106587588690114
Resample0254,18,1.34345966970941,0.688490282999201,1.01138024807712,0.137742924911876,0.0718772908983376,0.107525696417028
Resample0254,19,1.34295061325795,0.688776357795024,1.01111243865326,0.137218747639546,0.0716578586764504,0.107415776092972
Resample0254,20,1.34311405880277,0.688710217487827,1.01111786826796,0.137219697557902,0.0716856782963933,0.107534215668209
Resample0255,1,2.21436452642631,0.239019718240783,1.80268563158145,0.257448484167848,0.138542021980165,0.24155315172942
Resample0255,2,1.88885339581923,0.452269789722642,1.53443313037702,0.210956210406962,0.100598986250397,0.191341327627352
Resample0255,3,1.79977846878457,0.502371329552684,1.43060239753421,0.238398562938496,0.105706658595481,0.186074938328555
Resample0255,4,1.59838859406885,0.609801459082134,1.28361052655896,0.191349363078838,0.0955006878292571,0.161621066202366
Resample0255,5,1.54292462027943,0.637625545006666,1.24600847694326,0.181924134035927,0.0874359608314924,0.155550471347077
Resample0255,6,1.59516134126089,0.616515388198887,1.22694254330525,0.237644491297236,0.102517360519417,0.170498296571646
Resample0255,7,1.51494776874965,0.651004984153626,1.16807189227017,0.184555761599985,0.0703448501249382,0.15095209988761
Resample0255,8,1.42055928187537,0.691680472631489,1.10157798844475,0.167841137945613,0.0655190349207446,0.127458938481464
Resample0255,9,1.39882098259822,0.697523266990108,1.08471172238812,0.195880601741693,0.0762576182135593,0.145686743349431
Resample0255,10,1.37883400496113,0.706607777816916,1.0589781641495,0.197831460765443,0.0758269755969789,0.146983003227706
Resample0255,11,1.38195911189602,0.704049044328257,1.05323690473174,0.190535147936113,0.0755313040491756,0.13794561206901
Resample0255,12,1.36835012561812,0.708739948720019,1.04555963351703,0.178164629104706,0.0711186082523444,0.130730409031667
Resample0255,13,1.36855236923628,0.709077375164343,1.04689344935927,0.173379515724128,0.0695738403237669,0.126981594978049
Resample0255,14,1.37390394400544,0.707172862875426,1.05230568499822,0.174210149397482,0.0683587279587589,0.12678490076767
Resample0255,15,1.37590947364022,0.706545295077933,1.05256480249646,0.176085895903872,0.0695874798619206,0.12684855767271
Resample0255,16,1.37660633217666,0.706420212364757,1.05188692006914,0.171577328727302,0.067805149386617,0.125587379501314
Resample0255,17,1.37563290328594,0.706791904813366,1.05214797090164,0.170371778531324,0.067331714866775,0.125145498230206
Resample0255,18,1.37590583451471,0.70667653454208,1.05206066704472,0.170466680839752,0.0674982348481958,0.124654792987893
Resample0255,19,1.37509735875533,0.707005278091954,1.05166789365221,0.170036720744931,0.0671679772224434,0.125033930076277
Resample0255,20,1.37503757686311,0.70699729351057,1.05172935199674,0.170106007666392,0.067217897504759,0.125051626250398
Resample0256,1,2.180388647722,0.158546982831325,1.80184687306791,0.215644209038652,0.140935575422659,0.205336669636094
Resample0256,2,1.94392712713719,0.312634822571612,1.59827496913056,0.205680248943761,0.130649817514307,0.2087360314058
Resample0256,3,1.72613157691658,0.456129815708526,1.42195785183615,0.185331320658202,0.11095532263692,0.158555622449323
Resample0256,4,1.55604776508807,0.564781042894312,1.26869070640627,0.175669346783556,0.109989106077398,0.140153434117717
Resample0256,5,1.56319307725646,0.565819268284624,1.25707793812591,0.170285597050955,0.0953550510368966,0.14272391171492
Resample0256,6,1.49632667225402,0.61273822688648,1.14664771505064,0.188187830969188,0.0817754184839109,0.14145969747071
Resample0256,7,1.47820538128579,0.629425294710781,1.13409965675376,0.18608178300109,0.0820326256982662,0.127557092634918
Resample0256,8,1.41487456358678,0.653509445000818,1.06932414189098,0.178765575321754,0.0736550159973416,0.136781103812154
Resample0256,9,1.38898174091495,0.658145063385487,1.05335195117348,0.150028485006835,0.0754668037175995,0.113435140830649
Resample0256,10,1.34882503844526,0.675738774896629,1.02681951891778,0.138004575644327,0.0678305629896995,0.105083063826154
Resample0256,11,1.35455297795132,0.673765774156113,1.03156216624436,0.158507240052426,0.0822180290162443,0.106260225532224
Resample0256,12,1.34976236639985,0.678493589109472,1.0171402289811,0.158758438129525,0.0763083568477492,0.114409297269356
Resample0256,13,1.33278756081408,0.68434770836883,1.00384078436201,0.169376077665516,0.0815760983180201,0.113520462760027
Resample0256,14,1.34199676304751,0.680634844703497,1.00955931914912,0.157346629000522,0.0769782082830178,0.106124279336088
