Plot,Lot.,Entry,SeedWt,testwt,pct.moisture,me,loc,notes
404,17-514,Picolo,300,45.7,4,grain,chazy,
405,16-503,USO-31,1020,43.6,4.5,grain,chazy,
406,18-532,X-59,510,42.3,4,grain,chazy,
407,18-524,Portugal,230,34.6,5,grain,chazy,
408,17-513,Katani,290,42.7,4.3,grain,chazy,
409,17-511,CFX-2,260,37,5.1,grain,chazy,
410,17-515,CRS-1,540,43.7,4.2,grain,chazy,
101,17-511,CFX-2,334,40.2,5.5,grain,mcg,
102,18-525,Swift,110,NA,NA,grain,mcg,
103,18-523,Pewter River,1655,43.3,5.4,grain,mcg,
104,17-513,Katani,119,NA,NA,grain,mcg,
105,17-514,Picolo,237,32.9,5.8,grain,mcg,
106,16-503,USO-31,189,26.6,7.2,grain,mcg,
107,17-516,Grandi,108,NA,NA,grain,mcg,
108,18-532,X-59,418,41.1,5.6,grain,mcg,
109,18-524,Portugal,1470,42.8,5.5,grain,mcg,
110,17-512,CFX-1,153,NA,NA,grain,mcg,
111,17-515,CRS-1,327,36.7,5.5,grain,mcg,
201,17-514,Picolo,190,36.3,5.8,grain,mcg,
202,18-523,Pewter River,1784,42.3,5.5,grain,mcg,
203,17-516,Grandi,151,NA,NA,grain,mcg,
204,18-525,Swift,119,NA,NA,grain,mcg,
205,18-524,Portugal,1551,40.5,5.4,grain,mcg,
206,17-512,CFX-1,181,25.2,6.7,grain,mcg,
207,17-511,CFX-2,188,26.2,6.3,grain,mcg,
208,16-503,USO-31,310,34.5,5.7,grain,mcg,
209,17-513,Katani,123,NA,NA,grain,mcg,
210,17-515,CRS-1,378,37.7,5.6,grain,mcg,
211,18-532,X-59,594,39.7,5.5,grain,mcg,
301,17-514,Picolo,186,25.6,6.1,grain,mcg,
302,18-525,Swift,151,NA,NA,grain,mcg,
303,18-532,X-59,462,26.8,6.6,grain,mcg,
304,18-523,Pewter River,2049,37.6,5.6,grain,mcg,
305,17-511,CFX-2,45,NA,NA,grain,mcg,
306,17-516,Grandi,63,NA,NA,grain,mcg,
307,16-503,USO-31,220,30.8,6.1,grain,mcg,
308,18-524,Portugal,1371,41.8,5.5,grain,mcg,
309,17-513,Katani,59,NA,NA,grain,mcg,
310,17-512,CFX-1,204,28.6,5,grain,mcg,
311,17-515,CRS-1,543,28.4,5.5,grain,mcg,
101,18-555,Ferimon,110,NA,NA,dual,chazy,
102,18-539,NWG-Elite,130,NA,NA,dual,chazy,
103,16-508,Bialobrzeskie,70,NA,NA,dual,chazy,
104,18-534,Joey,210,29.1,5.9,dual,chazy,
105,18-521,Nebraska (feral),340,47.5,4,dual,chazy,
106,18-540,Hele,130,NA,NA,dual,chazy,
107,16-509,Tygra,70,NA,NA,dual,chazy,
108,18-535,Canda,160,23.8,5.5,dual,chazy,
109,16-501,Futura 75,120,NA,NA,dual,chazy,
110,16-502,Feli 32,100,NA,NA,dual,chazy,
111,16-510,Wojko,60,NA,NA,dual,chazy,
112,18-541,NWG-331,110,NA,NA,dual,chazy,
113,17-517,Anka,100,NA,NA,dual,chazy,
114,18-538,Tygra,80,NA,NA,dual,chazy,
201,16-501,Futura 75,170,27.8,5.2,dual,chazy,
202,18-541,NWG-331,160,24.9,5.1,dual,chazy,
203,18-540,Hele,180,24.9,5.8,dual,chazy,
204,16-509,Tygra,140,23.2,4.9,dual,chazy,
205,18-535,Canda,240,32.4,5.6,dual,chazy,
206,18-534,Joey,340,41,4.4,dual,chazy,
207,17-517,Anka,170,23.2,5.9,dual,chazy,
208,18-539,NWG-Elite,130,NA,NA,dual,chazy,
209,18-555,Ferimon,80,NA,NA,dual,chazy,
210,18-521,Nebraska (feral),470,38.8,5.1,dual,chazy,
211,16-502,Feli 32,100,NA,NA,dual,chazy,
212,18-538,Tygra,100,NA,NA,dual,chazy,
213,16-508,Bialobrzeskie,90,NA,NA,dual,chazy,
214,16-510,Wojko,90,NA,NA,dual,chazy,
301,16-508,Bialobrzeskie,100,NA,NA,dual,chazy,
302,16-502,Feli 32,140,23.3,5.3,dual,chazy,
303,16-510,Wojko,70,NA,NA,dual,chazy,
304,18-521,Nebraska (feral),540,47.7,4.1,dual,chazy,
305,18-540,Hele,170,27.6,5.1,dual,chazy,
306,16-501,Futura 75,270,36.2,5,dual,chazy,
307,18-534,Joey,190,27.4,5.6,dual,chazy,
308,18-555,Ferimon,170,25.2,5.6,dual,chazy,
309,18-538,Tygra,NA,NA,NA,dual,chazy,
310,18-535,Canda,180,24.5,6,dual,chazy,
311,17-517,Anka,150,24.1,5.7,dual,chazy,
312,18-541,NWG-331,210,30.6,5.7,dual,chazy,
313,16-509,Tygra,110,NA,NA,dual,chazy,
314,18-539,NWG-Elite,150,27,4.6,dual,chazy,
401,16-508,Bialobrzeskie,90,NA,NA,dual,chazy,
402,16-502,Feli 32,120,NA,NA,dual,chazy,
403,18-521,Nebraska (feral),470,49.2,3.9,dual,chazy,
404,18-540,Hele,280,35.2,5.3,dual,chazy,
405,17-517,Anka,130,NA,NA,dual,chazy,
406,16-509,Tygra,160,25.6,5,dual,chazy,
407,18-539,NWG-Elite,220,25.6,6.5,dual,chazy,
408,18-535,Canda,280,41.5,4.2,dual,chazy,
409,18-534,Joey,240,35.1,5.3,dual,chazy,
410,18-541,NWG-331,190,33.2,4.4,dual,chazy,
411,18-538,Tygra,90,NA,NA,dual,chazy,
412,16-510,Wojko,90,NA,NA,dual,chazy,
413,16-501,Futura 75,140,NA,NA,dual,chazy,
414,18-555,Ferimon,140,NA,NA,dual,chazy,
101,18-538,Tygra,260,36.5,5.9,dual,CN North,
102,18-522,Sterling Gold,160,24,6.5,dual,CN North,
103,18-541,NWG-331,110,NA,NA,dual,CN North,
104,16-508,Bialobrzeskie,470,41.6,5.3,dual,CN North,
105,18-555,Ferimon,270,40.8,5.4,dual,CN North,
106,NA,SC-1,150,24.8,5.8,dual,CN North,
107,16-510,Wojko,260,37.4,5.4,dual,CN North,
108,18-534,Joey,150,NA,NA,dual,CN North,
109,16-502,Feli 32,270,31,6.5,dual,CN North,
110,16-509,Tygra,330,37,5.8,dual,CN North,
111,18-520,Rocky Hemp,330,41.3,5.2,dual,CN North,
112,18-539,NWG-Elite,,37.7,5.9,dual,CN North,reported combine issue: recorded yield of 270g
113,18-521,Nebraska (feral),360,42.1,5.1,dual,CN North,
114,18-540,Hele,300,34.8,6.6,dual,CN North,
115,16-501,Futura 75,370,41.2,5.2,dual,CN North,
116,17-517,Anka,340,35.8,6.1,dual,CN North,
117,18-535,Canda,500,38.8,5.3,dual,CN North,
201,16-508,Bialobrzeskie,360,38.2,5.5,dual,CN North,
202,18-521,Nebraska (feral),200,27.1,6.7,dual,CN North,
203,18-555,Ferimon,110,NA,NA,dual,CN North,
204,18-535,Canda,260,36.1,5.4,dual,CN North,
205,18-538,Tygra,60,NA,NA,dual,CN North,
206,18-540,Hele,120,NA,NA,dual,CN North,
207,18-534,Joey,520,40.6,5.5,dual,CN North,
208,16-501,Futura 75,930,40.7,5.3,dual,CN North,
209,NA,SC-1,190,28.3,6.2,dual,CN North,
210,18-541,NWG-331,360,40.2,5.5,dual,CN North,
211,18-522,Sterling Gold,160,24,6.1,dual,CN North,
212,16-502,Feli 32,,NA,NA,dual,CN North,reported combine issue: recorded yield of 60g
213,16-509,Tygra,380,40.3,5.4,dual,CN North,
214,18-520,Rocky Hemp,110,NA,NA,dual,CN North,
215,17-517,Anka,530,39.4,5.6,dual,CN North,
216,18-539,NWG-Elite,460,44.2,5.4,dual,CN North,
217,16-510,Wojko,500,33.6,6.1,dual,CN North,
301,18-555,Ferimon,610,33.6,5.6,dual,CN North,
302,18-520,Rocky Hemp,130,NA,NA,dual,CN North,
303,18-534,Joey,320,35.3,6.4,dual,CN North,
304,NA,SC-1,140,25.3,5.8,dual,CN North,
305,17-517,Anka,530,42.8,5.2,dual,CN North,
306,16-510,Wojko,310,43.5,5,dual,CN North,
307,18-539,NWG-Elite,500,43.1,5.3,dual,CN North,
308,16-508,Bialobrzeskie,720,39.7,5.5,dual,CN North,
309,18-535,Canda,810,35.1,6.2,dual,CN North,
310,18-541,NWG-331,440,39.5,5.7,dual,CN North,
311,16-502,Feli 32,470,36,6,dual,CN North,
